taskNum,stim1,stim2,stim3,stim4,stim5,stim6,trial1,trial2,trial3,stimsType,difficulty
EMRP,blurp,wollen,quavied,,,,koaya quavied loonsty fealong,,,,practice
1,anger,bread,army,,,,anger white cat coal, woman  mountain   music  bread, bird  stomach   army  net,Unrelated,easy
2,bed,rest,dream,,,,bed nap tired awake,snooze blanket snore rest ,slumber  sleep dream  doze ,Related,
3,seat,truck,city,rug,,, warm truck wet air, bag  room city  magic, general  voice  tell  rug,Unrelated,
4,smooth,bumpy,road,tough,,,uneven bumpy boards ground,coarse rugged jagged tough , rough road  gravel  riders,Related,
5,rocking,handle,apple,doctor,bench,, dress hair handle dance,apple stars pole  sign,doctor walk inch mouth,Unrelated,
6,nose,breathe,sniff,hear,aroma,,see nostril breathe whiff,hear  scent reek stench  ,salts smell  sniff  perfume,Related,hard
7,person,alien,peace,short,bulb,member,  pin  thorn  fountain  peace,  button  short  iron  lake,  traffic  bulb  pipe  cook,Unrelated,medium
8,door,glass,pane,shade,ledge,sill,house open curtain glass ,frame view breeze  ledge ,window  shade  screen shutter,Related,
33,rourn,skasks,yolled,,,,plue  ghoum rourn stidge,skasks drib truft thwab,britch salse  pluid yolled,Unrelated,easy
34,dwans,claise,rerb,,,,dwens dwans   dwuns  dwins,claise  cloise  claase  cloisa,rarb  rurb rerb rirb,Related,medium
35,rups,whefs,nouls,gwowse,,,breece whefs phealt knonx,rizzed nouls vrance telps,phybe  stoove  gwowse  zems,Unrelated,
36,roules,grimp,pief,loths,,,grimp  gremp  gwemp  girmp,peif  paef  peef pief,loths  liths  luths  laths,Related,
37,melk,steece,thurr,durds,burls,,nairs neign  jusks steece ,thurr  frimes lalph  frax,raims  thards  chauls durds  ,Unrelated,
38,phest,snert,truint,yolfs,viss,,snert  snart  snurt  sinrt,triunt  truint  twuint  troont,yalfs  yilfs  yolfs   ylofs,Related,hard
39,jauced,drerbs,gnules,sawns,yinc,haut,gnules  wrerks  maused  zoax,brults sawns  jelf  thiped,ploked stooth yinc flombs,Unrelated,
40,gworns,scupe,praws,hurnt,skiths,zissed,prews  perws praws  priws,hornt  hurnt  hrunt  herunt,skiths  skoths  sikths  skuths,Related,
