taskNum,stim1,stim2,stim3,stim4,stim5,stim6,trial1,trial2,trial3,stimsType,difficulty
SMONP,fish,,,,,,stairs glue fish marker,,,,practice
201,butterfly,muffin,flag,,,,butterfly  coffee muffin  flag  ,muffin coffee butterfly  flag,coffee muffin  flag butterfly  ,,easy
202,pants,calculator,stapler,,,,pants  calculator  stapler  switch,stapler calculator pants  switch,switch  calculator  stapler pants,,easy
203,tricycle,guitar,basket,,,,tricycle  guitar  basket   folder,guitar folder basket  tricycle ,folder basket tricycle guitar,,easy
204,necklace,collar,rosary,,,,necklace collar  rosary   choker,choker necklace collar rosary  ,rosary necklace choker collar ,,med
205,vase,bowl,pitcher,,,,vase  bowl   pitcher  urn,urn vase   pitcher  bowl,bowl    pitcher  vase urn,,med
206,tophat,sunhat,helmet,,,,tophat sunhat helmet visor,visor tophat helmet sunhat,sunhat visor helmet tophat,,med
207,loaf,bagel,sandwich,,,,loaf  bagel sandwich donut,donut loaf  bagel sandwich, sandwich loaf donut bagel,,hard
208,seagull,duck,cardinal,,,,seagull   duck  cardinal  pidgeon,cardinal seagull   duck  pidgeon, pidgeon duck  cardinal  seagull  ,,hard
209,basketball,beachball,soccerball,,,,basketball  beachball  soccerball  volleyball,beachball soccerball basketball  volleyball,volleyball  soccerball beachball  basketball,,hard
210,,,,,,,lamp lantern candle torch,lamp lantern candle torch,lamp lantern candle torch,,
211,,,,,,,lamp lantern candle torch,lamp lantern candle torch,lamp lantern candle torch,,
212,,,,,,,chair lounge stool recliner,chair lounge stool recliner,chair lounge stool recliner,,
213,,,,,,,keychain  earing   ring   bracelet,keychain  earing   ring   bracelet,keychain  earing   ring   bracelet,,
214,,,,,,,necktie  bowtie   lei  scarf,necktie  bowtie   lei  scarf,necktie  bowtie   lei  scarf,,
215,,,,,,,cheese cake cookie  cracker,cheese cake cookie  cracker,cheese cake cookie  cracker,,
216,,,,,,,scissors  knife  spoon fork,scissors  knife  spoon fork,scissors  knife  spoon fork,,
217,,,,,,,compass clock  scale  meter,compass clock  scale  meter,compass clock  scale  meter,,
