taskNum,stim1,stim2,stim3,stim4,stim5,stim6,trial1,trial2,trial3,stimsType,difficulty
WMAP,872,,,,,,,,,1s,practice
401,218,495,782,,,,,,,1s,easy
402,482,872,528,,,,,,,1s,
403,,,,,,,,,,1s,
404,,,,,,,,,,1s,
405,,,,,,,,,,1s,
406,,,,,,,,,,1s,
407,43521,61374,95824,,,,,,,1s,easy
408,,,,,,,,,,1s,
409,,,,,,,,,,1s,
410,897234,247139,948235,,,,,,,1s,
411,,,,,,,,,,1s,
412,3148572,6418725,4235698,,,,,,,1s,
413,71485329,34187256,32458961,,,,,,,1s,medium
414,,,,,,,,,,1s,
415,4855379321,3167948375,1837524169,,,,,,,1s,hard
416,,,,,,,,,,1s,
417,,,,,,,,,,1s,
435,,,,,,,,,,5s,
436,,,,,,,,,,5s,
437,,,,,,,,,,5s,
438,,,,,,,,,,5s,
439,,,,,,,,,,5s,
440,,,,,,,,,,5s,
441,,,,,,,,,,5s,
442,,,,,,,,,,5s,
443,,,,,,,,,,5s,
444,,,,,,,,,,5s,
445,,,,,,,,,,5s,
446,5217968,3418725,9652781,,,,,,,5s,medium
447,,,,,,,,,,5s,
448,,,,,,,,,,5s,
449,,,,,,,,,,5s,
450,,,,,,,,,,5s,
